,posteam_type,yardline_100,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,drive,qtr,goal_to_go,ydstogo,desc,shotgun,no_huddle,qb_dropback,qb_scramble,posteam_timeouts_remaining,defteam_timeouts_remaining,score_differential,no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,penalty,pass,run,4th_down_conversion,scoring_prob
1017,1.0,35.0,126.0,126.0,126.0,18,4,0.0,1,"(2:06) (Run formation) D.Brown right end to JAC 35 for no gain (T.Knighton, D.Smith). JAC-R.Hayward was injured during the play.",0,0,0.0,0,2.0,1.0,2.0,0.42300492823319386,0.05802847721706901,0.00043253175503688577,0.08895233122207089,0.2545876293727491,0.0031235253346891764,0.17187057686519108,0.0,0,1,0.0,0.043756122723035855
1021,0.0,63.0,83.0,83.0,83.0,19,4,0.0,8,(1:23) (Shotgun) D.Garrard pass incomplete short middle to M.Jones-Drew (D.Freeney) [G.Brackett].,1,0,1.0,0,1.0,2.0,-2.0,0.6913829419351346,0.07566959732262585,0.002597545913385893,0.05279155666508322,0.10254437935936496,0.000888726477648056,0.07412525232675743,0.0,1,0,0.0,0.007601127994703664
1051,1.0,42.0,316.0,1216.0,3016.0,4,1,0.0,2,(5:16) B.Leonard right end to DEN 37 for 5 yards (L.Jordan). {Wildcat formation},0,0,0.0,0,3.0,3.0,0.0,0.010715180200645658,0.13627466368257513,0.0013032237597294394,0.2123092415343024,0.3687051667477899,0.0060540106232908645,0.2646385134516666,0.0,0,1,1.0,0.09757358723008398
1056,1.0,10.0,111.0,1011.0,2811.0,4,1,0.0,2,"(1:51) (Field Goal formation) K.Huber FUMBLES (Aborted) at DEN 10, and recovers at DEN 44. K.Huber to DEN 44 for no gain (A.Davis). {High snap}",0,0,0.0,0,3.0,3.0,0.0,0.007785082504870389,0.03049201374174696,0.00013550213941051586,0.04897000769072729,0.7859330018643368,0.0033858551536483893,0.12329853690525985,0.0,0,1,0.0,0.09690438923543158
1199,1.0,2.0,495.0,1395.0,3195.0,1,1,0.0,1,(8:15) J.Stewart right tackle to PHI 1 for 1 yard (V.Abiamiri).,0,0,0.0,0,2.0,3.0,0.0,0.0012219682359487824,0.020326837422778386,7.02413258137592e-05,0.034004321802758294,0.8295738290666833,0.0028357963976739947,0.1119670057483434,0.0,0,1,1.0,0.09288489768778457
1337,0.0,35.0,644.0,644.0,644.0,24,4,0.0,3,(10:44) K.Kolb pass short right to B.Celek ran ob at CAR 29 for 6 yards.,0,0,1.0,0,3.0,2.0,26.0,0.08192688251637148,0.09616329644342372,0.0008022301756777867,0.14639613168543436,0.4606407498991544,0.005215033156601283,0.208855676123337,0.0,1,0,1.0,0.09620743527014887
1351,0.0,38.0,264.0,264.0,264.0,26,4,0.0,1,(4:24) K.Kolb sacked at CAR 47 for -9 yards (L.Leonard).,0,0,1.0,0,2.0,2.0,26.0,0.3127903187538742,0.07762684156426604,0.0006227967839122404,0.11919138754091575,0.2736202117597064,0.0038369210360522593,0.2123115225612731,0.0,1,0,0.0,0.058092723762241234
1359,1.0,27.0,120.0,120.0,120.0,27,4,0.0,1,(2:00) M.Moore pass short left to S.Smith to PHI 18 for 9 yards (E.Hobbs).,0,0,1.0,0,2.0,2.0,-26.0,0.37024550466825945,0.04547009344510634,0.0002800133687807081,0.0703531789999369,0.3494656483748986,0.0030781838833485085,0.16110737725966945,0.0,1,0,1.0,0.05630149405202978
1367,1.0,1.0,39.0,39.0,39.0,27,4,1.0,1,"(:39) D.Williams right end to PHI 2 for -1 yards (J.Parker, B.Bunkley).",0,0,0.0,0,1.0,1.0,-26.0,0.25519437484266666,0.01536461609534716,0.0032771946402672075,0.0111004099311307,0.5196686672052517,0.0034579720335638393,0.1919367652517728,0.0,0,1,0.0,0.09974352298607604
1451,0.0,48.0,1.0,1.0,1801.0,10,2,0.0,9,(:01) (Shotgun) B.Croyle pass short left to J.Charles to BAL 28 for 20 yards (R.Lewis).,1,0,1.0,0,1.0,0.0,-4.0,0.6795312164993816,0.04555178137883551,0.0011043525055530014,0.032160933764684006,0.17972502263034598,0.0008224343182574313,0.061104258902942486,0.0,1,0,1.0,0.010981964314141859
1538,0.0,87.0,99.0,99.0,99.0,20,4,0.0,18,"(1:39) (Shotgun) B.Croyle sacked at KC 9 for -4 yards (T.Pryce). FUMBLES (T.Pryce), recovered by KC-B.Albert at KC 9. B.Albert to KC 9 for no gain (H.Ngata).",1,0,1.0,0,2.0,3.0,-8.0,0.7204951768777723,0.11252013340791367,0.007401334850762364,0.07485415010468838,0.031014654013138993,0.0006666783263854683,0.05304787241933884,0.0,1,0,0.0,0.0016452614092189325
1545,1.0,1.0,36.0,36.0,36.0,21,4,1.0,1,"(:36) W.McGahee right guard for 1 yard, TOUCHDOWN.",0,0,0.0,0,2.0,0.0,8.0,0.2574784361913203,0.01531439965562904,0.003266340591889839,0.011062873458211322,0.5180691779785702,0.003446616983113725,0.1913621551412657,0.0,0,1,1.0,0.09913883441024314
1698,0.0,15.0,250.0,250.0,250.0,21,4,0.0,4,(4:10) (Shotgun) C.Pennington pass short right to B.Hartline to ATL 9 for 6 yards (E.Coleman).,1,0,1.0,0,2.0,3.0,-19.0,0.16354162415153867,0.03158238792582763,0.00016709690319000536,0.048174983564594084,0.6497219602862536,0.003036002507095262,0.10377594466150077,0.0,1,0,1.0,0.06742551019602805
1884,1.0,33.0,115.0,115.0,115.0,25,4,0.0,5,(1:55) (Shotgun) K.Warner pass incomplete short left to T.Hightower [J.Smith].,1,0,1.0,0,2.0,1.0,-4.0,0.4394065339320091,0.03890522953506717,0.0006244692043686565,0.028485893385986494,0.4084119884582898,0.001077589208229081,0.08308829627604992,0.0,1,0,0.0,0.03393425629971306
2053,0.0,7.0,130.0,130.0,130.0,23,4,1.0,7,(2:10) (Shotgun) M.Bulger pass incomplete short middle to R.McMichael.,1,0,1.0,0,3.0,3.0,-28.0,0.14021650118643533,0.0141459793973657,9.554938351209176e-05,0.016604398770224568,0.7350777065042862,0.0021716241599604442,0.0916882405982158,0.0,1,0,0.0,0.06739798161234965
2098,1.0,3.0,900.0,900.0,2700.0,3,2,0.0,1,"(15:00) B.Jacobs up the middle to WAS 3 for no gain (A.Haynesworth, C.Horton). WAS-A.Haynesworth was injured during the play.",0,0,0.0,0,2.0,2.0,3.0,0.00922553037087442,0.02077724389761969,7.300143912323822e-05,0.03407173823958653,0.815918751746756,0.0028095561518339173,0.11712417815420607,0.0,0,1,0.0,0.09556381323894449
2137,0.0,8.0,33.0,33.0,1833.0,9,2,1.0,8,"(:33) (Field Goal formation) H.Smith right end for 8 yards, TOUCHDOWN.",0,0,0.0,0,1.0,1.0,-16.0,0.1848703018703132,0.008037587890357866,8.791143423579948e-05,0.0045853844229219185,0.7516115003704488,0.0005421546353726866,0.05026515937634976,0.0,0,1,1.0,0.03777987185521797
2308,0.0,49.0,4.0,4.0,1804.0,16,2,0.0,14,(:04) (Shotgun) J.Cutler pass incomplete deep right to G.Olsen.,1,0,1.0,0,1.0,2.0,-8.0,0.6787459421510935,0.04736616225563126,0.0012268746721623622,0.033051595165366106,0.18288597712857813,0.0008326484976672433,0.0558908001295014,0.0,1,0,0.0,0.010221643594181925
2319,0.0,37.0,660.0,1560.0,1560.0,17,3,0.0,1,(11:00) J.Cutler up the middle to GB 36 for 1 yard (J.Jolly; R.Pickett).,0,0,0.0,0,2.0,3.0,-8.0,0.002435174008253445,0.11548698482207602,0.000921994216492825,0.1864646903678268,0.40201787046351395,0.005913609741807221,0.2867596763800297,0.0,0,1,1.0,0.11528251443310596
2352,0.0,74.0,763.0,763.0,763.0,21,4,0.0,11,"(12:43) (Punt formation) G.Wolfe up the middle to CHI 30 for 4 yards (B.Swain, D.Bishop). Chicago challenged the too many players on field ruling, and the play was Upheld. (Timeout #2 at 12:39.)",0,0,0.0,0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0
2393,1.0,40.0,819.0,1719.0,3519.0,1,1,0.0,1,"(13:39) N.Kaczur reported in as eligible.  L.Maroney left tackle to BUF 40 for no gain (K.Ellison, K.Williams).",0,0,0.0,0,3.0,3.0,0.0,0.0013780838259186295,0.12876032431391127,0.0011067972088664268,0.20840482656675607,0.3596282473327081,0.0060550227525528215,0.29466669799928663,0.0,0,1,0.0,0.10597046814879986
2493,1.0,36.0,360.0,1260.0,1260.0,12,3,0.0,2,(6:00) (Shotgun) T.Brady pass incomplete short right to W.Welker.,1,0,1.0,0,3.0,3.0,-3.0,0.007776852235984085,0.11084616467746433,0.0009192619476863745,0.17422213653134058,0.4552558007192998,0.0058496643826883785,0.2451301195055363,0.0,1,0,0.0,0.11159690883591057
2558,0.0,70.0,1.0,1.0,1.0,19,4,0.0,20,"(:01) (No Huddle, Shotgun) T.Edwards pass deep right to D.Schouman to NE 47 for 23 yards. Lateral to R.Parrish to NE 43 for 4 yards. Lateral to F.Jackson to NE 34 for 9 yards. FUMBLES, recovered by BUF-R.Parrish at NE 40. R.Parrish to NE 44 for -4 yards (L.Bodden).",1,1,1.0,0,0.0,2.0,-2.0,0.7740425866650644,0.06786660604336113,0.003001633115925255,0.04578510231426604,0.06263019280884577,0.0006545255078757635,0.04601935354466157,0.0,1,0,1.0,0.0028822009854405943
2724,1.0,57.0,161.0,161.0,161.0,20,4,0.0,14,"(2:41) (Shotgun) J.Russell pass deep middle to L.Murphy for 57 yards, TOUCHDOWN.",1,0,1.0,0,2.0,2.0,-4.0,0.4910885409994541,0.1091394435805434,0.0017705986054131733,0.15311843114359255,0.1368227674520496,0.003163955039771916,0.10489626317917544,0.0,1,0,1.0,0.014352197023553314
2849,1.0,15.0,536.0,1436.0,1436.0,12,3,0.0,1,(8:56) M.Ryan up the middle to CAR 13 for 2 yards (J.Peppers).,0,0,0.0,0,3.0,3.0,8.0,0.0019003450727434453,0.042959496760663365,0.0002025497241974537,0.07087117116529956,0.7035924230998742,0.0041299185810558395,0.17634409559616607,0.0,0,1,1.0,0.12407436951986235
2864,1.0,21.0,73.0,973.0,973.0,14,3,0.0,1,(1:13) M.Ryan up the middle to CAR 20 for 1 yard (D.Lewis).,0,0,0.0,0,3.0,3.0,8.0,0.015276898530464248,0.056197142234902235,0.0003036784321938576,0.09044929962657816,0.6227190742192327,0.004538123299328766,0.21051578365729998,0.0,0,1,1.0,0.13109219390761012
2903,0.0,17.0,164.0,164.0,164.0,17,4,0.0,10,(2:44) J.Delhomme pass short left intended for S.Smith INTERCEPTED by C.Houston at ATL 4. C.Houston pushed ob at ATL 8 for 4 yards (S.Smith).,0,0,1.0,0,3.0,2.0,-8.0,0.21703946692334533,0.03130153363931501,0.00018937371357335918,0.046439678447899216,0.6225423034226365,0.002851504111560388,0.07963613974167015,0.0,1,0,0.0,0.0495768658704663
2937,1.0,21.0,426.0,1326.0,3126.0,2,1,0.0,1,(7:06) Kv.Smith left tackle to MIN 17 for 4 yards (E.Henderson).,0,0,0.0,0,3.0,2.0,0.0,0.0037588988284941033,0.05799267172900914,0.0003150011663404705,0.0945952371217627,0.6283324409408088,0.004691648282959021,0.21031410193062566,0.0,0,1,1.0,0.1321471730303441
3066,1.0,58.0,267.0,267.0,267.0,21,4,0.0,7,(4:27) (Shotgun) M.Stafford pass short right to D.Northcutt to MIN 46 for 12 yards (T.Johnson).,1,0,1.0,0,3.0,2.0,-17.0,0.3901167597108465,0.13119550145232575,0.0020431638210144445,0.18769607737722527,0.1411359965588714,0.003686740234909913,0.1441257608448067,0.0,1,0,1.0,0.02034133288663736
3082,0.0,25.0,138.0,138.0,138.0,22,4,0.0,2,(2:18) (Shotgun) T.Jackson pass short right to C.Taylor to DET 11 for 14 yards (E.Sims). DET-E.Sims was injured during the play.,1,0,1.0,0,2.0,0.0,14.0,0.3301952887348894,0.04386674080462735,0.00027527597775219053,0.06695137360677123,0.4180780628794901,0.0031546700513609078,0.13747858794510906,0.0,1,0,1.0,0.05747678173549882
3230,1.0,20.0,227.0,227.0,227.0,14,4,0.0,1,"(3:47) C.Portis left tackle to STL 11 for 9 yards (J.Wade, O.Atogwe).",0,0,0.0,0,2.0,0.0,2.0,0.2283089140748621,0.04015106487216739,0.0002095577142485648,0.06289808630584298,0.5004017860555807,0.003323811037263636,0.1647067799400346,0.0,0,1,1.0,0.08241956685745681
3236,1.0,2.0,120.0,120.0,120.0,14,4,0.0,1,(2:00) C.Portis left end to STL 4 for -2 yards (D.Vobora).,0,0,0.0,0,1.0,0.0,2.0,0.16698841418988614,0.01566057623051239,5.311808421576171e-05,0.02496343466578884,0.6931875726186112,0.0021704940378607864,0.09697639017312487,0.0,0,1,0.0,0.06722282850542377
3240,0.0,96.0,100.0,100.0,100.0,15,4,0.0,10,(1:40) (Shotgun) M.Bulger pass incomplete deep right to D.Avery (C.Horton).,1,0,1.0,0,0.0,1.0,-2.0,0.7175835011483951,0.12118083398604268,0.009340177427793469,0.08089816568050026,0.016669898568208347,0.0005533266552511505,0.053774096533809074,0.0,1,0,0.0,0.0008964087348156413
3375,0.0,37.0,252.0,1152.0,1152.0,19,3,0.0,2,(4:12) M.Schaub pass short left to J.Dreessen to TEN 33 for 4 yards (V.Fuller).,0,0,1.0,0,2.0,3.0,-7.0,0.012270380053678698,0.11401587898818885,0.0009668510253892053,0.17826019097338067,0.43961461759407977,0.005843681674635439,0.24902839969064736,0.0,1,0,1.0,0.10947652470006959
3401,1.0,33.0,629.0,629.0,629.0,22,4,0.0,6,(10:29) K.Collins pass incomplete deep left to J.Gage [A.Smith].,0,0,1.0,0,2.0,1.0,0.0,0.07936924356914174,0.08813675811443826,0.0007488889229380018,0.13219069346307716,0.524645564170251,0.005076691660866864,0.16983216009928698,0.0,1,0,0.0,0.0891016894495428
3414,0.0,15.0,316.0,316.0,316.0,25,4,0.0,1,(5:16) M.Schaub up the middle to TEN 13 for 2 yards (J.Haye; K.Bulluck).,0,0,0.0,0,1.0,2.0,0.0,0.14416590398636595,0.0344822077864029,0.0001599420241631234,0.05452388596513925,0.606496909076321,0.003295869427311915,0.15687528173429585,0.0,0,1,1.0,0.09514437348232747
3568,1.0,3.0,34.0,934.0,934.0,19,3,1.0,3,"(:34) (Shotgun) K.Kolb pass short right to J.Avant for 3 yards, TOUCHDOWN. New Orleans challenged the pass completion ruling, and the play was Upheld. (Timeout #1 at 00:29.)",1,0,1.0,0,2.0,2.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0.0
3600,1.0,5.0,317.0,317.0,317.0,23,4,1.0,5,"(5:17) (Shotgun) K.Kolb pass short right to J.Avant to NO 5 for no gain (R.Gay). Penalty on PHI, Illegal Formation, declined.",1,0,1.0,0,2.0,2.0,-21.0,0.07376794230016058,0.016544037198878602,0.00017748988966502188,0.02033930563756393,0.7657943000440411,0.0031672372850017386,0.12020968764468905,0.0,1,0,0.0,0.09205589360837747
3607,0.0,99.0,221.0,221.0,221.0,24,4,0.0,14,"(3:41) D.Brees right end to NO -9 for -10 yards. FUMBLES, ball out of bounds in End Zone, SAFETY.",0,0,0.0,0,1.0,1.0,21.0,0.44196752498497066,0.19714917391397802,0.00871895896950046,0.2636879966652663,0.01299870954291821,0.001715504445763125,0.0737621314776033,0.0,0,1,0.0,0.0009588125223439096
3797,0.0,72.0,66.0,66.0,66.0,22,4,0.0,10,(1:06) (Shotgun) T.Brady pass incomplete short left to J.Galloway (D.Lowery).,1,0,1.0,0,0.0,1.0,-7.0,0.7310787255426121,0.08300900526865153,0.003607224637144954,0.056949770792863966,0.06144891900887785,0.0007539310122456357,0.0631524237376041,0.0,1,0,0.0,0.0038806481714663693
3826,1.0,39.0,381.0,1281.0,3081.0,4,1,0.0,2,(6:21) J.Battle up the middle to OAK 36 for 3 yards (K.Morrison).,0,0,0.0,0,1.0,3.0,0.0,0.0077234700507501815,0.12382934211902008,0.0011034625187518335,0.19408811127770853,0.41165551671331857,0.005997068369447741,0.2556030289510032,0.0,0,1,1.0,0.10522039695631454
3885,1.0,27.0,44.0,44.0,1844.0,10,2,0.0,1,(:44) L.Johnson left end to OAK 24 for 3 yards (T.Howard).,0,0,0.0,0,1.0,0.0,0.0,0.4756931088571553,0.027787481267499786,0.00033105138119884084,0.02124600251554004,0.3736860548999328,0.0009073312780813783,0.10034896980059199,0.0,0,1,1.0,0.03749901063805572
3977,1.0,74.0,36.0,36.0,36.0,21,4,0.0,4,(:36) (Shotgun) M.Cassel pass incomplete short middle to J.O'Connell (M.Huff).,1,0,1.0,0,2.0,2.0,-3.0,0.7569270499362513,0.0750133275666705,0.0031308540276933946,0.0524300631588766,0.04372766290997012,0.0006406853164883857,0.06813035708404981,0.0,1,0,0.0,0.002979181288507225
4043,0.0,44.0,309.0,309.0,2109.0,7,2,0.0,1,(5:09) K.Warner pass short right to T.Hightower to JAC 41 for 3 yards (D.Smith).,0,0,1.0,0,2.0,3.0,13.0,0.3020635520475746,0.09601453680191943,0.0008894494765403967,0.1466238753403543,0.22168760127666795,0.0039969154736553035,0.22872406958328795,0.0,1,0,1.0,0.05070529034015679
4132,1.0,19.0,439.0,439.0,439.0,18,4,0.0,10,"(7:19) (Shotgun) D.Garrard pass short right to M.Sims-Walker for 19 yards, TOUCHDOWN.",1,0,1.0,0,3.0,2.0,-20.0,0.09188893543619002,0.04137268220336487,0.00026359291630406853,0.061876339358429365,0.7028831857285784,0.0035640446834133647,0.09815121967371976,0.0,1,0,1.0,0.06898884196740966
4144,1.0,31.0,269.0,269.0,269.0,20,4,0.0,13,(4:29) (Shotgun) D.Garrard pass incomplete deep left to N.Hughes.,1,0,1.0,0,2.0,2.0,-13.0,0.24479793907151665,0.06354310480827051,0.0005513598645043004,0.09249606334077146,0.4847271105046196,0.0038819292948045563,0.1100024931155129,0.0,1,0,0.0,0.05332119063618688
4509,0.0,62.0,217.0,217.0,217.0,22,4,0.0,13,(3:37) (Shotgun) S.Wallace pass deep left to T.Houshmandzadeh ran ob at SF 40 for 22 yards. Caught at SF 46.,1,0,1.0,0,0.0,2.0,-13.0,0.448576559066368,0.13170432821397046,0.002392321417057745,0.18439778412315333,0.11497808059008605,0.0033082396488738172,0.1146426869404906,0.0,1,0,1.0,0.013181396098107733
4518,0.0,18.0,137.0,137.0,137.0,22,4,0.0,15,(2:17) (Shotgun) S.Wallace pass incomplete deep right to T.Houshmandzadeh (N.Clements).,1,0,1.0,0,0.0,2.0,-13.0,0.2370639624571308,0.031464874103636124,0.0002025858081392248,0.04612520815862022,0.6111257351934969,0.002789946489650169,0.07122768778932663,0.0,1,0,0.0,0.0435290730663851
4576,1.0,64.0,675.0,675.0,2475.0,7,2,0.0,1,"(11:15) (No Huddle) T.Edwards up the middle to BUF 38 for 2 yards (J.Wilkerson). PENALTY on TB, Face Mask (15 Yards), 15 yards, enforced at BUF 38.",0,1,0.0,0,3.0,1.0,9.0,0.11127640500879757,0.19404245625808367,0.0029121749050917307,0.2933813167358743,0.1078670013457612,0.004562032685357129,0.2859586130610344,1.0,0,1,1.0,0.0308454980998866
4647,0.0,43.0,301.0,1201.0,1201.0,17,3,0.0,1,"(5:01) D.Ward left tackle to BUF 44 for -1 yards (M.Buggs, D.Whitner).",0,0,0.0,0,3.0,3.0,-5.0,0.011631179974611914,0.1369360789597408,0.001254873747589657,0.21655704126773653,0.3203835744128753,0.005893185191255286,0.30734406644619044,0.0,0,1,0.0,0.09846799058261875
4692,0.0,43.0,411.0,411.0,411.0,23,4,0.0,10,"(6:51) (Shotgun) B.Leftwich pass deep left to M.Stovall to BUF 5 for 38 yards (R.Corner) [Sp.Johnson]. Penalty on BUF-A.Youboty, Defensive Holding, declined.",1,0,1.0,0,2.0,3.0,-15.0,0.2137065308196857,0.1112528038257705,0.0012560615558881727,0.16152519009442282,0.3526183602441837,0.004816625532678981,0.15482442792736992,0.0,1,0,1.0,0.05459393590149298
4697,0.0,6.0,332.0,332.0,332.0,23,4,1.0,6,"(5:32) (Shotgun) B.Leftwich pass short middle to J.Stevens for 6 yards, TOUCHDOWN. Caught at BUF 2.",1,0,1.0,0,1.0,3.0,-15.0,0.06847250050688106,0.015962020800840956,0.00013323251221131302,0.019224055598898244,0.7854266127658869,0.002719391654436048,0.10806218616084527,0.0,1,0,1.0,0.0848749168443894
4713,0.0,53.0,66.0,66.0,66.0,25,4,0.0,6,(1:06) (Shotgun) B.Leftwich pass short left to K.Winslow pushed ob at BUF 42 for 11 yards (A.Youboty). Caught near sideline at BUF 46.,1,0,1.0,0,1.0,3.0,-12.0,0.6587054509420603,0.059729223328917676,0.0015709621590920832,0.04243664337739468,0.15814317481589402,0.0009330879756970137,0.0784814574009442,0.0,1,0,1.0,0.012411306837563658
4813,1.0,34.0,38.0,38.0,1838.0,11,2,0.0,2,"(:38) P.Rivers pass short middle to A.Gates to BAL 25 for 9 yards (T.Gooden, D.Landry).",0,0,1.0,0,0.0,1.0,-8.0,0.5434769828816873,0.034329002106467894,0.0005163946673943927,0.025591918412840232,0.3052774684291639,0.000919916561939027,0.08988831694050724,0.0,1,0,1.0,0.027440877836956378
4904,1.0,15.0,37.0,37.0,37.0,22,4,0.0,2,(:37) D.Sproles up the middle to BAL 20 for -5 yards (R.Lewis).,0,0,0.0,0,1.0,3.0,-5.0,0.3308218519192678,0.016955212613573238,0.00016209275077575192,0.012928909223833544,0.570481280214725,0.0007832252696524126,0.06786742800817228,0.0,0,1,0.0,0.0387170972149828
5067,1.0,32.0,113.0,113.0,113.0,22,4,0.0,3,(1:53) L.Jordan left end to CLE 32 for no gain (B.McDonald).,0,0,0.0,0,2.0,2.0,21.0,0.4407453609694351,0.037536921435388115,0.0005602386009817362,0.027856024178722096,0.3995918744601216,0.0010675239005825503,0.09264205645476904,0.0,0,1,0.0,0.037019012992601574
5096,0.0,1.0,302.0,1202.0,3002.0,2,1,1.0,1,"(5:02) B.Roethlisberger pass short right to M.Spaeth for 1 yard, TOUCHDOWN [A.Adams].",0,0,1.0,0,2.0,3.0,0.0,0.0029562918345291725,0.030931382735633436,0.003464831836571143,0.04712186464658952,0.5579124938323291,0.0145139159999691,0.3430992191143785,0.0,1,0,1.0,0.19141934096802762
5578,1.0,42.0,22.0,22.0,22.0,16,4,0.0,10,(:22) (Shotgun) C.Pennington pass short middle to T.Ginn to IND 30 for 12 yards (J.Lacey).,1,0,1.0,0,0.0,3.0,-4.0,0.6097914930815573,0.041898274495576336,0.000889494133886535,0.029741699601219695,0.2542372469944359,0.0008989232381069398,0.06254286845521725,0.0,1,0,1.0,0.015900726695189583
5591,1.0,9.0,645.0,1545.0,3345.0,2,1,0.0,1,(10:45) (No Huddle) J.Flacco up the middle to CLE 7 for 2 yards (D.Jackson).,0,1,0.0,0,3.0,3.0,0.0,0.00094071447818704,0.0310337992037852,0.00012700900076376392,0.051777752631339435,0.7683695938940107,0.0035452346591088256,0.14420589613280516,0.0,0,1,1.0,0.11080342584868538
5805,0.0,33.0,291.0,291.0,2091.0,10,2,0.0,7,(4:51) (Shotgun) K.Collins pass incomplete short right to N.Washington.,1,0,1.0,0,3.0,2.0,-7.0,0.2491828671722909,0.07054396693068027,0.0006053103756331326,0.10407095455079853,0.4363946692559407,0.004059002774151175,0.13514322894050546,0.0,1,0,0.0,0.05897578469567175
5917,0.0,67.0,114.0,114.0,114.0,31,4,0.0,23,(1:54) (Shotgun) K.Collins pass incomplete deep right to J.Gage.,1,0,1.0,0,0.0,2.0,-7.0,0.6745734276683598,0.09110640663531706,0.0038079350929245037,0.06173949784731453,0.10458561330455694,0.0009586925301603258,0.06322842692136696,0.0,1,0,0.0,0.0066127838078535225
